,Date,Open,High,Low,Close,Adj Close,Volume,Outlier,Prediction,L14,H14,%K,%D,Sell Entry,Sell Exit,Short,Buy Entry,Buy Exit,Long,Position
0,2010-06-29,19.0,25.0,17.540001,23.889999,23.889999,18766300,0,0,,,,,False,False,0.0,False,False,0.0,0.0
1,2010-06-30,25.790001,30.42,23.299999,23.83,23.83,17187100,0,0,,,,,False,False,0.0,False,False,0.0,0.0
2,2010-07-01,25.0,25.92,20.27,21.959999,21.959999,8218800,0,0,,,,,False,False,0.0,False,False,0.0,0.0
3,2010-07-02,23.0,23.1,18.709999,19.200001,19.200001,5139800,0,0,,,,,False,False,0.0,False,False,0.0,0.0
4,2010-07-06,20.0,20.0,15.83,16.110001,16.110001,6866900,0,0,,,,,False,False,0.0,False,False,0.0,0.0
5,2010-07-07,16.4,16.629998999999998,14.98,15.8,15.8,6921700,0,0,,,,,False,False,0.0,False,False,0.0,0.0
6,2010-07-08,16.139999,17.52,15.57,17.459999,17.459999,7711400,0,0,,,,,False,False,0.0,False,False,0.0,0.0
7,2010-07-09,17.58,17.9,16.549999,17.4,17.4,4050600,0,0,,,,,False,False,0.0,False,False,0.0,0.0
8,2010-07-12,17.950001,18.07,17.0,17.049999,17.049999,2202500,0,0,,,,,False,False,0.0,False,False,0.0,0.0
9,2010-07-13,17.389999,18.639999,16.9,18.139999,18.139999,2680100,0,0,,,,,False,False,0.0,False,False,0.0,0.0
10,2010-07-14,17.940001000000002,20.15,17.76,19.84,19.84,4195200,0,0,,,,,False,False,0.0,False,False,0.0,0.0
11,2010-07-15,19.940001000000002,21.5,19.0,19.889999,19.889999,3739800,0,0,,,,,False,False,0.0,False,False,0.0,0.0
12,2010-07-16,20.700001,21.299999,20.049999,20.639999,20.639999,2621300,0,0,,,,,False,False,0.0,False,False,0.0,0.0
13,2010-07-19,21.370001000000002,22.25,20.92,21.91,21.91,2486500,0,0,14.98,30.42,44.883419689119165,,False,False,0.0,False,False,0.0,0.0
14,2010-07-20,21.85,21.85,20.049999,20.299999,20.299999,1825300,0,0,14.98,30.42,34.45595207253886,,False,False,0.0,False,False,0.0,0.0
15,2010-07-21,20.66,20.9,19.5,20.219998999999998,20.219998999999998,1252500,0,0,14.98,25.92,47.89761425959777,42.41232867375193,False,False,0.0,False,False,0.0,0.0
16,2010-07-22,20.5,21.25,20.370001000000002,21.0,21.0,957800,0,0,14.98,23.1,74.13793103448273,52.16383245553979,False,False,0.0,False,False,0.0,0.0
17,2010-07-23,21.190001000000002,21.559998999999998,21.059998999999998,21.290001,21.290001,653600,0,0,14.98,22.25,86.79506189821183,69.61020239743078,False,False,0.0,False,False,0.0,0.0
18,2010-07-26,21.5,21.5,20.299999,20.950001,20.950001,922200,0,0,14.98,22.25,82.11830811554334,81.01710034941264,False,False,0.0,False,False,0.0,0.0
19,2010-07-27,20.91,21.18,20.26,20.549999,20.549999,619700,0,0,15.57,22.25,74.55088323353293,81.15475108242937,True,False,-1.0,False,True,0.0,-1.0
20,2010-07-28,20.549999,20.9,20.51,20.719998999999998,20.719998999999998,467200,0,0,16.549999,22.25,73.15788190212594,76.60902441706742,False,False,-1.0,False,False,0.0,-1.0
21,2010-07-29,20.77,20.879998999999998,20.0,20.35,20.35,616000,0,0,16.9,22.25,64.48598130841125,70.73158214802339,False,False,-1.0,False,False,0.0,-1.0
22,2010-07-30,20.200001,20.440001000000002,19.549999,19.940001000000002,19.940001000000002,426900,0,0,16.9,22.25,56.82244859813089,64.82210393622272,False,False,-1.0,False,False,0.0,-1.0
23,2010-08-02,20.5,20.969998999999998,20.33,20.92,20.92,718100,0,0,17.76,22.25,70.37861915367486,63.89568302007236,False,True,0.0,False,False,0.0,0.0
24,2010-08-03,21.0,21.950001,20.82,21.950001,21.950001,1230500,0,0,19.0,22.25,90.76926153846155,72.65677643008912,False,False,0.0,False,False,0.0,0.0
25,2010-08-04,21.950001,22.18,20.85,21.26,21.26,913000,0,0,19.5,22.25,64.00000000000006,75.0492935640455,False,False,0.0,False,True,0.0,0.0
26,2010-08-05,21.540001,21.549999,20.049999,20.450001,20.450001,796200,0,0,19.5,22.25,34.54549090909092,63.104917482517514,False,False,0.0,False,False,0.0,0.0
27,2010-08-06,20.1,20.16,19.52,19.59,19.59,741900,0,0,19.5,22.18,3.358208955223876,33.967899954771624,False,False,0.0,False,False,0.0,0.0
28,2010-08-09,19.9,19.98,19.450001,19.6,19.6,812700,0,0,19.450001,22.18,5.494470877095601,14.46605691380347,False,False,0.0,False,False,0.0,0.0
29,2010-08-10,19.65,19.65,18.82,19.030001000000002,19.030001000000002,1281300,0,0,18.82,22.18,6.250029761904818,5.034236531408102,False,True,0.0,True,False,1.0,1.0
30,2010-08-11,18.690001000000002,18.879998999999998,17.85,17.9,17.9,797600,0,0,17.85,22.18,1.1547344110853852,4.299745016695272,False,False,0.0,False,True,0.0,0.0
31,2010-08-12,17.799999,17.9,17.389999,17.6,17.6,691000,0,0,17.389999,22.18,4.38415357324564,3.9296392487452856,False,True,0.0,True,False,1.0,1.0
32,2010-08-13,18.18,18.450001,17.66,18.32,18.32,634000,0,0,17.389999,22.18,19.41546567526814,8.31811788653306,False,False,0.0,False,False,1.0,1.0
33,2010-08-16,18.450001,18.799999,18.26,18.780001000000002,18.780001000000002,485800,0,0,17.389999,22.18,29.018824839493824,17.606148029335873,False,False,0.0,False,False,1.0,1.0
34,2010-08-17,18.959999,19.4,18.780001000000002,19.15,19.15,447900,0,0,17.389999,22.18,36.74322823732185,28.39250625069461,False,False,0.0,False,False,1.0,1.0
35,2010-08-18,19.59,19.59,18.6,18.77,18.77,601300,0,0,17.389999,22.18,28.8100357390322,31.52402960528263,False,False,0.0,False,True,0.0,0.0
