,Date,Open,High,Low,Close,Adj Close,Volume,Increase
0,2010-06-29,19.0,25.0,17.540001,23.889999,23.889999,18766300,0
10,2010-07-14,17.940001000000002,20.15,17.76,19.84,19.84,4195200,1
20,2010-07-28,20.549999,20.9,20.51,20.719998999999998,20.719998999999998,467200,0
30,2010-08-11,18.690001000000002,18.879998999999998,17.85,17.9,17.9,797600,1
40,2010-08-25,19.16,19.98,18.559998999999998,19.9,19.9,503300,1
50,2010-09-09,21.0,21.049999,20.690001000000002,20.709999,20.709999,376200,0
60,2010-09-23,19.889999,20.139999,19.5,19.559998999999998,19.559998999999998,668100,1
70,2010-10-07,20.57,20.639999,20.34,20.43,20.43,141000,1
80,2010-10-21,20.610001,20.950001,20.450001,20.75,20.75,417100,1
90,2010-11-04,22.6,25.33,22.15,24.9,24.9,1874000,1
100,2010-11-18,30.67,30.74,28.92,29.889999,29.889999,956100,1
110,2010-12-03,32.009997999999996,32.25,30.870001000000002,31.49,31.49,1160100,0
120,2010-12-17,31.34,31.540001,30.709999,31.360001,31.360001,813000,0
130,2011-01-03,26.84,27.0,25.9,26.620001000000002,26.620001000000002,1283000,0
140,2011-01-18,25.48,25.639999,24.75,25.639999,25.639999,1621700,0
150,2011-02-01,24.309998999999998,24.73,23.540001,23.91,23.91,707800,0
160,2011-02-15,23.01,23.17,22.559998999999998,22.84,22.84,953700,1
170,2011-03-02,23.82,24.280001000000002,23.73,24.02,24.02,663300,0
180,2011-03-16,22.860001,23.25,22.690001000000002,22.82,22.82,1169700,1
190,2011-03-30,24.110001,24.49,23.01,23.709999,23.709999,1223300,1
200,2011-04-13,25.129998999999998,25.690001000000002,24.809998999999998,24.93,24.93,1211500,1
210,2011-04-28,27.07,27.690001000000002,26.719998999999998,27.66,27.66,1600000,1
220,2011-05-12,27.07,27.74,26.65,27.67,27.67,628000,1
230,2011-05-26,28.82,29.76,28.1,29.48,29.48,3336900,0
240,2011-06-10,27.52,28.299999,27.35,27.860001,27.860001,1566600,0
250,2011-06-24,27.639999,27.969998999999998,27.26,27.57,27.57,3608500,1
260,2011-07-11,28.4,28.530001000000002,28.0,28.35,28.35,975800,1
270,2011-07-25,29.01,29.25,28.440001000000002,28.49,28.49,673300,0
280,2011-08-08,23.1,24.440001000000002,23.1,23.639999,23.639999,2608500,0
290,2011-08-22,23.110001,23.799999,21.68,21.950001,21.950001,986100,1
300,2011-09-06,22.5,23.200001,22.290001,22.940001000000002,22.940001000000002,809800,1
310,2011-09-20,25.98,26.6,25.67,26.01,26.01,1180400,0
320,2011-10-04,23.290001,24.32,22.93,23.66,23.66,1200300,1
330,2011-10-18,27.299999,28.43,26.709999,28.34,28.34,999700,1
340,2011-11-01,28.389999,28.92,28.0,28.879998999999998,28.879998999999998,635200,1
350,2011-11-15,32.919998,34.400002,32.73,33.93,33.93,891000,0
360,2011-11-30,32.5,32.93,32.220001,32.740002000000004,32.740002000000004,760300,0
370,2011-12-14,29.5,29.68,28.0,28.530001000000002,28.530001000000002,1163900,1
380,2011-12-29,28.59,29.34,28.549999,28.73,28.73,488200,0
390,2012-01-13,28.4,28.5,22.639999,22.790001,22.790001,5500400,1
400,2012-01-30,29.49,29.610001,28.530001000000002,29.57,29.57,729000,1
410,2012-02-13,31.549999,32.060001,30.9,31.49,31.49,1157900,1
420,2012-02-28,33.639998999999996,34.439999,33.169998,33.810001,33.810001,612200,1
430,2012-03-13,36.509997999999996,36.59,35.5,36.09,36.09,1001600,1
440,2012-03-27,37.16,39.950001,37.029999,37.939999,37.939999,2539200,0
450,2012-04-11,33.240002000000004,33.290001000000004,32.009997999999996,33.09,33.09,1105500,0
460,2012-04-25,32.07,32.990002000000004,32.07,32.91,32.91,712200,0
470,2012-05-09,30.299999,30.77,29.76,30.059998999999998,30.059998999999998,1947900,1
480,2012-05-23,30.559998999999998,31.049999,29.5,31.02,31.02,1220400,0
490,2012-06-07,29.809998999999998,29.870001000000002,28.85,28.93,28.93,492100,1
500,2012-06-21,34.259997999999996,34.279999,31.84,32.189999,32.189999,1891900,0
510,2012-07-06,30.99,31.73,30.799999,30.99,30.99,784500,1
520,2012-07-20,32.07,32.25,31.25,31.790001,31.790001,1568500,0
530,2012-08-03,26.9,27.549999,26.74,27.27,27.27,1209500,1
540,2012-08-17,30.290001,30.709999,29.98,30.01,30.01,508200,0
550,2012-08-31,28.610001,28.84,28.200001,28.52,28.52,539800,1
560,2012-09-17,32.349998,32.779999,31.51,32.540001000000004,32.540001000000004,3212800,0
570,2012-10-01,29.5,29.889999,29.0,29.16,29.16,884400,0
580,2012-10-15,28.02,28.049999,26.860001,27.33,27.33,1468700,1
590,2012-10-31,27.700001,28.35,27.370001000000002,28.129998999999998,28.129998999999998,775200,1
600,2012-11-14,31.959999,32.119999,31.200001,31.379998999999998,31.379998999999998,871300,1
610,2012-11-29,33.439999,34.0,32.869999,33.689999,33.689999,1103400,0
620,2012-12-13,35.259997999999996,35.299999,32.75,33.610001000000004,33.610001000000004,2151300,0
630,2012-12-28,33.380001,33.650002,33.02,33.220001,33.220001,414100,1
640,2013-01-14,33.080002,33.380001,32.849998,33.259997999999996,33.259997999999996,925100,1
650,2013-01-29,38.099998,38.439999,37.130001,37.950001,37.950001,1426600,0
660,2013-02-12,38.450001,38.869999,37.290001000000004,37.889998999999996,37.889998999999996,2261300,0
670,2013-02-27,34.41,35.41,34.400002,35.099998,35.099998,1959200,1
680,2013-03-13,39.0,39.490002000000004,38.810001,38.98,38.98,822000,0
690,2013-03-27,37.939999,38.380001,37.310001,38.16,38.16,1296300,1
700,2013-04-11,42.060001,44.549999,41.75,43.59,43.59,3447400,1
710,2013-04-25,50.5,52.400002,50.5,52.0,52.0,2795900,1
720,2013-05-09,70.120003,75.769997,63.689999,69.400002,69.400002,28605000,1
730,2013-05-23,84.809998,93.010002,83.050003,92.730003,92.730003,12022200,1
740,2013-06-07,98.0,102.900002,96.699997,102.040001,102.040001,10711600,0
750,2013-06-21,103.699997,103.699997,97.5,99.550003,99.550003,11718600,1
760,2013-07-08,121.370003,122.18,118.82,121.610001,121.610001,7814200,1
770,2013-07-22,119.889999,126.68,119.879997,122.43,122.43,9797800,1
780,2013-08-05,140.009995,144.889999,139.649994,144.679993,144.679993,10200700,1
790,2013-08-19,143.429993,147.380005,142.830002,144.899994,144.899994,8037700,1
800,2013-09-03,173.399994,173.699997,166.399994,168.940002,168.940002,12061100,0
810,2013-09-17,165.080002,168.419998,163.360001,166.229996,166.229996,5496900,1
820,2013-10-01,193.96000700000002,194.229996,188.369995,193.0,193.0,7755900,0
830,2013-10-15,185.279999,188.78999299999998,183.179993,183.940002,183.940002,10978500,0
840,2013-10-29,162.759995,165.449997,153.0,164.470001,164.470001,14111700,0
850,2013-11-12,144.690002,144.699997,136.179993,137.800003,137.800003,14985200,0
860,2013-11-26,119.379997,122.720001,116.099998,120.5,120.5,13885500,1
870,2013-12-11,141.880005,143.050003,139.490005,139.649994,139.649994,7137800,1
880,2013-12-26,155.03999299999998,158.0,154.28999299999998,155.5,155.5,7129500,0
890,2014-01-10,148.46000700000002,148.899994,142.25,145.720001,145.720001,7446100,1
900,2014-01-27,175.16000400000001,177.919998,164.71000700000002,169.619995,169.619995,8716400,1
910,2014-02-10,189.33999599999999,199.300003,189.320007,196.559998,196.559998,12970700,1
920,2014-02-25,230.0,259.200012,228.44999700000002,248.0,248.0,32681700,0
930,2014-03-11,236.5,244.600006,232.42999300000002,234.41000400000001,234.41000400000001,8810100,0
940,2014-03-25,224.13999900000002,227.05000299999998,217.899994,220.440002,220.440002,7865400,0
950,2014-04-08,210.05000299999998,216.49000499999997,206.419998,215.460007,215.460007,6889300,0
960,2014-04-23,216.330002,216.74000499999997,207.0,207.990005,207.990005,7295600,0
970,2014-05-07,209.639999,210.19999700000002,197.25,201.350006,201.350006,10179300,0
980,2014-05-21,196.179993,199.869995,194.78999299999998,199.449997,199.449997,5285400,1
990,2014-06-05,204.470001,209.199997,204.050003,206.899994,206.899994,4054600,1
1000,2014-06-19,228.88000499999998,235.309998,227.0,227.789993,227.789993,8793100,1
1010,2014-07-03,231.289993,231.899994,224.0,229.25,229.25,5166700,0
1020,2014-07-18,215.94999700000002,221.210007,215.92999300000002,220.020004,220.020004,4253700,1
1030,2014-08-01,226.08999599999999,237.5,226.0,233.270004,233.270004,11895800,1
1040,2014-08-15,261.480011,262.089996,258.5,262.01001,262.01001,3867900,1
1050,2014-08-29,268.700012,272.0,267.51001,269.700012,269.700012,6447100,0
1060,2014-09-15,274.369995,274.399994,249.13000499999998,253.86000099999998,253.86000099999998,16455400,0
1070,2014-09-29,244.0,248.63999900000002,241.38000499999998,245.25999500000003,245.25999500000003,4852700,0
1080,2014-10-13,238.57000699999998,238.960007,221.0,224.58999599999999,224.58999599999999,11268700,0
1090,2014-10-27,234.25,234.61000099999998,220.309998,221.669998,221.669998,9553300,1
1100,2014-11-10,239.11000099999998,242.88000499999998,236.80000299999998,241.92999300000002,241.92999300000002,4577200,1
1110,2014-11-24,245.19999700000002,247.600006,240.63999900000002,246.72000099999997,246.72000099999997,4789700,0
1120,2014-12-09,209.33999599999999,217.729996,204.270004,216.88999900000002,216.88999900000002,9431500,1
1130,2014-12-23,223.809998,224.32000699999998,219.520004,220.97000099999997,220.97000099999997,4505700,0
1140,2015-01-08,212.809998,213.80000299999998,210.00999500000003,210.61999500000002,210.61999500000002,3442500,0
1150,2015-01-23,200.28999299999998,203.5,198.330002,201.28999299999998,201.28999299999998,3438600,1
1160,2015-02-06,222.0,223.399994,216.5,217.36000099999998,217.36000099999998,3233200,0
1170,2015-02-23,215.66000400000001,218.19999700000002,206.330002,207.33999599999999,207.33999599999999,8499800,0
1180,2015-03-09,194.389999,194.490005,188.25,190.880005,190.880005,6736700,1
1190,2015-03-23,198.5,200.5,197.470001,199.630005,199.630005,2620900,1
1200,2015-04-07,202.509995,205.059998,201.139999,203.25,203.25,4347900,1
1210,2015-04-21,205.800003,210.75,204.309998,209.41000400000001,209.41000400000001,3432500,1
1220,2015-05-05,237.75999500000003,239.5,229.13000499999998,232.94999700000002,232.94999700000002,5796900,1
1230,2015-05-19,248.42999300000002,251.0,246.149994,247.13999900000002,247.13999900000002,3674200,1
1240,2015-06-03,248.19999700000002,250.72000099999997,247.00999500000003,248.99000499999997,248.99000499999997,1781500,1
1250,2015-06-17,252.169998,264.359985,252.020004,260.410004,260.410004,5512900,1
1260,2015-07-01,271.109985,272.619995,267.850006,269.149994,269.149994,2101200,0
1270,2015-07-16,264.22000099999997,267.200012,263.160004,266.679993,266.679993,1616000,1
1280,2015-07-30,262.690002,266.940002,262.109985,266.790009,266.790009,2034600,0
1290,2015-08-13,239.86000099999998,246.479996,239.11999500000002,242.50999500000003,242.50999500000003,4689200,1
1300,2015-08-27,231.0,244.75,230.809998,242.99000499999997,242.99000499999997,7656000,1
1310,2015-09-11,247.63999900000002,250.24000499999997,244.729996,250.24000499999997,250.24000499999997,2350800,1
1320,2015-09-25,266.609985,266.910004,256.149994,256.910004,256.910004,3773400,0
1330,2015-10-09,220.92999300000002,224.36999500000002,218.36000099999998,220.690002,220.690002,6158400,0
1340,2015-10-23,215.0,215.350006,207.690002,209.08999599999999,209.08999599999999,4235500,1
1350,2015-11-06,230.69999700000002,233.36000099999998,229.5,232.36000099999998,232.36000099999998,2445300,0
1360,2015-11-20,223.49000499999997,225.0,213.580002,220.00999500000003,220.00999500000003,4400700,1
1370,2015-12-07,227.69999700000002,235.63000499999998,226.149994,231.13000499999998,231.13000499999998,3144200,1
1380,2015-12-21,231.690002,235.830002,231.080002,232.559998,232.559998,1953200,0
1390,2016-01-06,220.0,220.05000299999998,215.979996,219.039993,219.039993,3779100,0
1400,2016-01-21,201.550003,203.229996,195.020004,199.970001,199.970001,3166200,0
1410,2016-02-04,170.699997,175.979996,166.990005,175.330002,175.330002,4363900,0
1420,2016-02-19,163.66000400000001,167.490005,162.5,166.580002,166.580002,2959400,1
1430,2016-03-04,198.0,204.029999,197.5,201.03999299999998,201.03999299999998,6489100,1
1440,2016-03-18,229.100006,234.479996,228.059998,232.74000499999997,232.74000499999997,4711800,1
1450,2016-04-04,249.11999500000002,252.11999500000002,243.63999900000002,246.99000499999997,246.99000499999997,13475300,1
1460,2016-04-18,252.229996,258.309998,251.66000400000001,253.88000499999998,253.88000499999998,4261800,0
1470,2016-05-02,241.5,243.190002,234.82000699999998,241.80000299999998,241.80000299999998,3843900,0
1480,2016-05-16,208.149994,213.149994,207.919998,208.28999299999998,208.28999299999998,2949400,1
1490,2016-05-31,223.039993,224.75,221.5,223.229996,223.229996,2789000,0
1500,2016-06-14,218.88000499999998,222.19999700000002,212.52999900000003,214.960007,214.960007,3580200,0
1510,2016-06-28,201.889999,204.050003,199.41000400000001,201.78999299999998,201.78999299999998,6212400,1
1520,2016-07-13,225.5,225.58999599999999,220.289993,222.52999900000003,222.52999900000003,3567100,1
1530,2016-07-27,229.33999599999999,233.36000099999998,226.919998,228.49000499999997,228.49000499999997,2885200,0
1540,2016-08-10,228.24000499999997,229.86999500000002,224.61999500000002,225.649994,225.649994,2338300,0
1550,2016-08-24,227.05000299999998,227.149994,222.22000099999997,222.61999500000002,222.61999500000002,2570700,0
1560,2016-09-08,199.550003,199.889999,196.360001,197.360001,197.360001,3370000,1
1570,2016-09-22,206.399994,207.279999,203.0,206.429993,206.429993,2382900,0
1580,2016-10-06,202.46000700000002,204.21000700000002,200.21000700000002,201.0,201.0,4703400,0
1590,2016-10-20,202.119995,203.0,197.050003,199.100006,199.100006,5072900,0
1600,2016-11-03,189.0,191.470001,187.03999299999998,187.419998,187.419998,2653000,1
1610,2016-11-17,183.490005,189.490005,182.110001,188.66000400000001,188.66000400000001,4887100,0
1620,2016-12-02,182.880005,184.880005,180.0,181.470001,181.470001,4042300,1
1630,2016-12-16,198.080002,202.58999599999999,197.600006,202.490005,202.490005,3779800,1
1640,2017-01-03,214.86000099999998,220.330002,210.960007,216.99000499999997,216.99000499999997,5923300,1
1650,2017-01-18,236.649994,239.710007,235.580002,238.36000099999998,238.36000099999998,3769000,1
1660,2017-02-01,253.05000299999998,253.19999700000002,249.05000299999998,249.24000499999997,249.24000499999997,3958800,1
1670,2017-02-15,280.0,282.23999,276.440002,279.76001,279.76001,4947900,0
1680,2017-03-02,249.710007,253.27999900000003,248.270004,250.479996,250.479996,3351800,1
1690,2017-03-16,262.399994,265.75,259.059998,262.049988,262.049988,7132200,1
1700,2017-03-30,278.040009,282.0,277.209991,277.920013,277.920013,4148400,1
1710,2017-04-13,296.700012,307.390015,295.299988,304.0,304.0,9284600,1
1720,2017-04-28,309.829987,314.799988,308.0,314.070007,314.070007,4463400,1
1730,2017-05-12,325.480011,327.0,321.52999900000003,324.809998,324.809998,4121600,1
1740,2017-05-26,317.27999900000003,325.48999,316.309998,325.140015,325.140015,7802200,1
1750,2017-06-12,357.98999,364.5,350.619995,359.01001,359.01001,10517700,1
1760,2017-06-26,386.690002,386.950012,373.100006,377.48999,377.48999,6604100,0
1770,2017-07-11,316.0,327.27999900000003,314.299988,327.22000099999997,327.22000099999997,11559400,1
1780,2017-07-25,345.0,345.600006,334.149994,339.600006,339.600006,6989200,1
1790,2017-08-08,357.52999900000003,368.579987,357.399994,365.22000099999997,365.22000099999997,7449800,0
1800,2017-08-22,341.130005,342.23999,337.369995,341.350006,341.350006,4322000,1
1810,2017-09-06,349.5,350.980011,341.559998,344.52999900000003,344.52999900000003,4091400,1
1820,2017-09-20,373.0,378.25,371.070007,373.910004,373.910004,4919100,0
1830,2017-10-04,351.25,358.619995,349.600006,355.01001,355.01001,8163500,1
1840,2017-10-18,355.97000099999997,363.0,354.130005,359.649994,359.649994,4939100,0
1850,2017-11-01,332.25,332.609985,320.26001,321.079987,321.079987,8457300,0
1860,2017-11-15,306.01001,312.48999,301.5,311.299988,311.299988,5978700,0
